2022-06-29 18:26:19,688 INFO    MainThread:2960 [wandb_setup.py:_flush():76] Loading settings from C:\Users\aksha\.config\wandb\settings
2022-06-29 18:26:30,294 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,304 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,314 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,323 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,333 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,344 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,353 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,363 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,376 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,386 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,399 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,414 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,428 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,439 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,453 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,462 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,472 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,480 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,491 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
