2022-07-11 13:44:55,675 INFO    MainThread:15128 [wandb_setup.py:_flush():76] Loading settings from C:\Users\aksha\.config\wandb\settings
2022-07-11 13:45:14,104 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,116 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,131 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,148 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,166 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,181 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,193 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,205 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,220 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,237 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,259 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,277 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,291 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,305 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,320 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,335 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,351 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,368 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,385 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,400 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,413 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,424 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,438 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,450 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,466 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,479 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,490 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,504 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,521 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,534 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
